BLR|12.9716|77.5946|2016-03-15T05:50:20|920|Mostly Cloudy|19.08|11.08|45.55|0.00|961|9.49
CHN|13.0827|80.2707|2016-03-15T05:50:20|6.70|Humid|25.40|19.40|76.38|0.00|1004|1.99
DEL|28.7041|77.1025|2016-03-15T05:50:20|219.00|Dry|5.97|5.97|9.35|0.00|991|3.21
MUM|19.0760|72.8777|2016-03-15T05:50:20|14.00|Very Humid|29.46|24.46|83.03|0.00|1024|1.04
KOL|22.5726|88.3639|2016-03-15T05:50:20|9.10|Humid|22.06|11.06|50.14|0.00|1026|2.04
JPR|26.9124|75.7873|2016-03-15T05:50:20|431.00|Mostly Cloudy|17.24|6.24|45.39|0.00|977|1.72
KAT|27.7172|85.3240|2016-03-15T05:50:20|1400.00|Dry|11.14|11.14|20.40|0.00|952|4.76
BLR|12.9716|77.5946|2015-05-17T05:05:49|920|Humid|22.53|14.53|64.49|0.00|980|8.88
CHN|13.0827|80.2707|2015-05-17T05:05:49|6.70|Very Humid|36.94|30.94|83.76|0.00|1025|2.52
DEL|28.7041|77.1025|2015-05-17T05:05:49|219.00|Humid|21.80|12.80|58.71|0.00|988|2.23
MUM|19.0760|72.8777|2015-05-17T05:05:49|14.00|Very Humid|28.29|23.29|82.32|0.00|1018|4.72
KOL|22.5726|88.3639|2015-05-17T05:05:49|9.10|Humid|26.26|15.26|58.12|0.00|1010|2.45
JPR|26.9124|75.7873|2015-05-17T05:05:49|431.00|Very Humid|36.81|25.81|70.12|0.00|1004|2.70
KAT|27.7172|85.3240|2015-05-17T05:05:49|1400.00|Mostly Cloudy|17.08|11.08|54.57|0.00|969|8.83
BLR|12.9716|77.5946|2015-02-28T04:22:00|920|Mostly Cloudy|15.93|7.93|48.89|0.00|979|5.32
CHN|13.0827|80.2707|2015-02-28T04:22:00|6.70|Humid|27.93|21.93|78.52|0.00|1006|4.50
DEL|28.7041|77.1025|2015-02-28T04:22:00|219.00|Drizzle|7.57|7.57|27.17|15.26|1000|2.26
MUM|19.0760|72.8777|2015-02-28T04:22:00|14.00|Humid|23.36|18.36|78.59|0.00|1013|4.30
KOL|22.5726|88.3639|2015-02-28T04:22:00|9.10|Humid|26.44|15.44|58.40|0.00|1010|2.92
JPR|26.9124|75.7873|2015-02-28T04:22:00|431.00|Dry|11.64|11.64|15.77|0.00|982|4.23
KAT|27.7172|85.3240|2015-02-28T04:22:00|1400.00|Drizzle|4.33|4.33|2.39|3.59|998|4.27
BLR|12.9716|77.5946|2015-12-02T11:28:10|920|Mostly Cloudy|15.66|7.66|35.08|0.00|969|6.43
CHN|13.0827|80.2707|2015-12-02T11:28:10|6.70|Very Humid|29.10|23.10|79.38|0.00|1006|3.32
DEL|28.7041|77.1025|2015-12-02T11:28:10|219.00|Dry|11.41|11.41|0.50|0.00|1016|2.51
MUM|19.0760|72.8777|2015-12-02T11:28:10|14.00|Humid|23.45|18.45|78.68|0.00|1020|3.16
KOL|22.5726|88.3639|2015-12-02T11:28:10|9.10|Humid|25.11|14.11|56.19|0.00|1009|4.78
JPR|26.9124|75.7873|2015-12-02T11:28:10|431.00|Mostly Cloudy|18.04|7.04|32.63|0.00|1007|3.49
KAT|27.7172|85.3240|2015-12-02T11:28:10|1400.00|Mostly Cloudy|18.53|12.53|46.42|0.00|966|7.65
BLR|12.9716|77.5946|2015-02-23T07:56:21|920|Mostly Cloudy|15.50|7.50|35.97|0.00|986|6.37
CHN|13.0827|80.2707|2015-02-23T07:56:21|6.70|Humid|27.82|21.82|78.43|0.00|1027|4.50
DEL|28.7041|77.1025|2015-02-23T07:56:21|219.00|Clear|29.18|20.18|69.15|0.00|960|2.64
MUM|19.0760|72.8777|2015-02-23T07:56:21|14.00|Humid|21.24|16.24|76.46|0.00|1023|2.78
KOL|22.5726|88.3639|2015-02-23T07:56:21|9.10|Humid|23.27|12.27|52.73|0.00|1001|1.31
JPR|26.9124|75.7873|2015-02-23T07:56:21|431.00|Very Humid|41.88|30.88|73.74|0.00|986|1.79
KAT|27.7172|85.3240|2015-02-23T07:56:21|1400.00|Dry|11.14|11.14|29.72|0.00|993|9.60
BLR|12.9716|77.5946|2015-06-15T19:43:10|920|Very Humid|32.98|24.98|75.74|0.00|984|6.27
CHN|13.0827|80.2707|2015-06-15T19:43:10|6.70|Very Humid|34.88|28.88|82.80|0.00|1010|1.85
DEL|28.7041|77.1025|2015-06-15T19:43:10|219.00|Drizzle|27.85|18.85|67.69|15.04|1012|2.02
MUM|19.0760|72.8777|2015-06-15T19:43:10|14.00|Very Humid|32.72|27.72|84.72|0.00|1008|1.31
KOL|22.5726|88.3639|2015-06-15T19:43:10|9.10|Humid|27.58|16.58|60.12|0.00|1020|2.83
JPR|26.9124|75.7873|2015-06-15T19:43:10|431.00|Very Humid|44.59|33.59|75.33|0.00|953|2.22
KAT|27.7172|85.3240|2015-06-15T19:43:10|1400.00|Very Humid|31.04|25.04|80.67|0.00|959|7.02
BLR|12.9716|77.5946|2016-01-26T12:01:25|920|Humid|22.61|14.61|64.62|0.00|994|9.31
CHN|13.0827|80.2707|2016-01-26T12:01:25|6.70|Very Humid|30.53|24.53|80.35|0.00|1007|2.93
DEL|28.7041|77.1025|2016-01-26T12:01:25|219.00|Humid|23.82|14.82|62.22|0.00|1010|4.24
MUM|19.0760|72.8777|2016-01-26T12:01:25|14.00|Very Humid|29.31|24.31|82.94|0.00|1026|3.73
KOL|22.5726|88.3639|2016-01-26T12:01:25|9.10|Humid|23.45|12.45|53.09|0.00|1015|2.89
JPR|26.9124|75.7873|2016-01-26T12:01:25|431.00|Humid|23.14|12.14|52.46|0.00|966|3.57
KAT|27.7172|85.3240|2016-01-26T12:01:25|1400.00|Drizzle|18.99|12.99|48.70|9.25|986|9.79
